state,sea,region,quota_exposure,income_us_born_b,income_us_born_a,income_change,european_immigrant_share_b,european_immigrant_share_a,immigration_change,immigrant_mining_share_b,immigrant_mining_share_a,immigration_mining_change,quota_exposure_state,num_mines_b,num_mines_a,num_mines_change,sea_type
michigan,210,east north central div,0.00292717020420241,6.92131519317627,7.00971508026123,0.0883998870849609,0.0159469766869656,0.00824420677361854,-0.00770276991334708,0.028169014084507,0.0185185185185185,-0.00965049556598852,0.0364640539783068,173,117,-56,manufacture
michigan,211,east north central div,0.0426543515459343,7.00227928161621,7.12082719802856,0.118547916412354,0.0422880971197014,0.0128679480043221,-0.0294201491153793,0.111111111111111,0.0277777777777778,-0.0833333333333333,0.0364640539783068,173,117,-56,manufacture
minnesota,212,west north central div,0.0424394890815165,6.68926286697388,6.67917060852051,-0.0100922584533691,0.0656507493674171,0.00613540032316231,-0.0595153490442548,0.564102564102564,0.0303030303030303,-0.533799533799534,0.0455692430512045,250,143,-107,agriculture
minnesota,213,west north central div,0.0458607785576533,6.77884435653687,6.81340026855469,0.0345559120178223,0.114235271039037,0.00833196855551916,-0.105903302483518,0.464294662991731,0.0213342363697934,-0.442960426621938,0.0455692430512045,250,143,-107,manufacture
minnesota,214,west north central div,0.145076150369277,7.21778059005737,7.12335157394409,-0.0944290161132812,0.232662180742469,0.0190656035809204,-0.213596577161549,0.568869652072582,0.0304418501551648,-0.538427801917417,0.0455692430512045,250,143,-107,mining
minnesota,215,west north central div,0.0478924472081417,6.67488479614258,6.67450618743897,-0.000378608703613281,0.0342699040296586,0.00445930880713489,-0.0298105952225237,0.0833333333333333,0.0238095238095238,-0.0595238095238095,0.0455692430512045,250,143,-107,agriculture
minnesota,216,west north central div,0.0570571205817032,6.65834999084473,6.66774129867554,0.00939130783081055,0.044628799806225,0.00651532640759266,-0.0381134733986324,0.303907380607815,0.00709219858156028,-0.296815182026255,0.0455692430512045,250,143,-107,agriculture
minnesota,217,west north central div,0.0311566071895868,6.7079029083252,6.73096609115601,0.0230631828308105,0.0461313529253432,0.00682912449641348,-0.0393022284289297,0.0217391304347826,0.0208333333333333,-0.000905797101449276,0.0455692430512045,250,143,-107,agriculture
minnesota,218,west north central div,0.0379963086863881,6.70856428146362,6.7384672164917,0.0299029350280762,0.026282497805627,0.00595568099726156,-0.0203268168083654,0.135251798561151,0.0261282660332542,-0.109123532527897,0.0455692430512045,250,143,-107,manufacture
minnesota,219,west north central div,0.0447217288667616,7.0703649520874,7.13356685638428,0.063201904296875,0.0811624968571274,0.0192484559555508,-0.0619140409015766,0.170821791320406,0.0419161676646707,-0.128905623655736,0.0455692430512045,250,143,-107,manufacture
minnesota,220,west north central div,0.0295643524987099,6.6903657913208,6.73091125488281,0.0405454635620117,0.0293275523560209,0.00680159940640587,-0.0225259529496151,0.0517241379310345,0.00961538461538462,-0.0421087533156499,0.0455692430512045,250,143,-107,agriculture
minnesota,221,west north central div,0.0412282588758899,6.71336936950684,6.7365608215332,0.0231914520263672,0.045610573814745,0.00960176294663938,-0.0360088108681056,0.202702702702703,0.0307692307692308,-0.171933471933472,0.0455692430512045,250,143,-107,agriculture
mississippi,222,east south central div,0.00391410168049333,6.29702854156494,6.39061117172241,0.0935826301574707,0.00397973684404291,0.000971077429829945,-0.00300865941421297,0.032258064516129,0.024390243902439,-0.00786782061369001,,,,,agriculture
mississippi,223,east south central div,0.000656530778996967,6.30167865753174,6.36744165420532,0.065762996673584,0.00074594500824009,0.000420885840905152,-0.000325059167334938,0.0526315789473684,0.0212765957446809,-0.0313549832026876,,,,,agriculture
mississippi,224,east south central div,0.00230001630916377,6.32642602920532,6.42254447937012,0.0961184501647949,0.00237342169971187,0.000735415509763016,-0.00163800618994885,0.0227272727272727,0.0125,-0.0102272727272727,,,,,agriculture
mississippi,225,east south central div,0.00128822699480224,6.31726121902466,6.5721583366394,0.254897117614746,0.00168401404021344,0.000810522049883948,-0.000873491990329496,0.111111111111111,0.0144927536231884,-0.0966183574879227,,,,,agriculture
mississippi,226,east south central div,0.000194493882645475,6.34600734710693,6.37304735183716,0.0270400047302246,0.000296524254882633,9.67323801969471e-05,-0.000199791874685685,0.0526315789473684,0.0208333333333333,-0.0317982456140351,,,,,agriculture
mississippi,227,east south central div,0.00051649980377988,6.33890438079834,6.43405055999756,0.0951461791992188,0.000621817503471814,0.000353212373587151,-0.000268605129884664,0.0476190476190476,0.0133333333333333,-0.0342857142857143,,,,,agriculture
mississippi,228,east south central div,0.000217182950564165,6.29663801193237,6.36979293823242,0.0731549263000488,0.000671671276175425,0.00011796007706725,-0.000553711199108174,0.0303030303030303,0.0256410256410256,-0.00466200466200466,,,,,agriculture
mississippi,229,east south central div,0.000468262063805014,6.33929443359375,6.41508769989014,0.0757932662963867,0.00128457004684903,0.000243876946660628,-0.0010406931001884,0.05,0.0357142857142857,-0.0142857142857143,,,,,agriculture
mississippi,230,east south central div,0.000652806951620732,6.25492811203003,6.37524175643921,0.12031364440918,0.00129533678756477,0.000336332296308753,-0.000959004491256014,0.2,0.0434782608695652,-0.156521739130435,,,,,agriculture
mississippi,231,east south central div,0.0108786891360069,6.44973134994507,6.47923040390015,0.0294990539550781,0.0102450634041129,0.00325558578245551,-0.00698947762165739,0.0666666666666667,0.117647058823529,0.0509803921568627,,,,,agriculture
missouri,232,west north central div,0.00456756703545125,6.66555023193359,6.72080326080322,0.0552530288696289,0.00725955901819145,0.00141561369475174,-0.0058439453234397,0.0287027833001988,0.00269438029253272,-0.0260084030076661,0.0100445192560983,1224,401,-823,manufacture
missouri,233,west north central div,0.0178926907601635,6.95899152755737,7.02735376358032,0.0683622360229492,0.0237162776236487,0.00732434608102133,-0.0163919315426274,0.0493522516964837,0.00818926296633303,-0.0411629887301506,0.0100445192560983,1224,401,-823,manufacture
missouri,234,west north central div,0.00303651468880162,6.6341814994812,6.67430973052979,0.040128231048584,0.00526671465718609,0.000413393964448119,-0.00485332069273797,0.10697893374132,0.00334728033472803,-0.103631653406592,0.0100445192560983,1224,401,-823,mining
missouri,235,west north central div,0.00185330806903039,6.64283418655396,6.69749879837036,0.0546646118164063,0.00568234394974313,0.000833906174286391,-0.00484843777545674,0.0639810426540284,0.00222882615156018,-0.0617522165024683,0.0100445192560983,1224,401,-823,agriculture
missouri,236,west north central div,0.00288458407749204,6.65266084671021,6.68213415145874,0.0294733047485352,0.00302169097672086,0.000579546257686056,-0.0024421447190348,0.0313688212927757,0.00339750849377123,-0.0279713127990044,0.0100445192560983,1224,401,-823,mining
missouri,237,west north central div,0.00387844717533881,6.68819665908814,6.76801109313965,0.0798144340515137,0.00259885020566658,0.000475322823417571,-0.00212352738224901,0.00251123446999736,0.00283446712018141,0.000323232650184049,0.0100445192560983,1224,401,-823,mining
missouri,238,west north central div,0.00358772242361738,6.59625482559204,6.63730907440186,0.0410542488098145,0.00216257779272893,0.000436384794414275,-0.00172619299831466,0.00175541252194266,0.00221729490022173,0.000461882378279073,0.0100445192560983,1224,401,-823,agriculture
missouri,239,west north central div,0.00702606341701539,6.60459041595459,6.67436170578003,0.0697712898254395,0.00505773709493524,0.00139384069134498,-0.00366389640359026,0.00738007380073801,0.00115606936416185,-0.00622400443657616,0.0100445192560983,1224,401,-823,agriculture
missouri,240,west north central div,0.0294830499806267,6.93929958343506,6.99893093109131,0.05963134765625,0.0483113815153606,0.0147591498429849,-0.0335522316723757,0.124568469505178,0.0258764607679466,-0.0986920087372318,0.0100445192560983,1224,401,-823,manufacture
missouri,242,west north central div,0.00392319177262834,6.62134265899658,6.66491651535034,0.0435738563537598,0.0145047118599904,0.000315482293556274,-0.0141892295664342,0.165000724322758,0.00142806140664049,-0.163572662916118,0.0100445192560983,1224,401,-823,mining
missouri,243,west north central div,0.0013627544103656,6.61917304992676,6.69395112991333,0.0747780799865723,0.00149556839470411,0.000171071764605252,-0.00132449663009886,0.0158730158730159,0.0181818181818182,0.00230880230880231,0.0100445192560983,1224,401,-823,agriculture
missouri,244,west north central div,0.00140704808381997,6.63620138168335,6.67930126190186,0.0430998802185059,0.00103170871859165,0.000187185795272222,-0.000844522923319431,0.0333333333333333,0.111111111111111,0.0777777777777778,0.0100445192560983,1224,401,-823,agriculture
montana,245,mountain division,0.0481078818229435,7.0457878112793,7.07892179489136,0.0331339836120605,0.125169556619654,0.0115956230605912,-0.113573933559063,0.062363238512035,0.0114942528735632,-0.0508689856384718,0.0613971726052114,543,169,-374,mining
montana,246,mountain division,0.0626234991577803,7.05109071731567,7.05332183837891,0.00223112106323242,0.103778419933482,0.0198023360287511,-0.0839760839047312,0.177657814068307,0.0402014569655545,-0.137456357102753,0.0613971726052114,543,169,-374,mining
montana,247,mountain division,0.0736610685144115,7.0918231010437,7.0937180519104,0.00189495086669922,0.12734719811203,0.0122552739414175,-0.115091924170613,0.30258739877543,0.0194003527336861,-0.283187046041744,0.0613971726052114,543,169,-374,mining
montana,248,mountain division,0.0544417341152439,7.1386890411377,7.11152458190918,-0.0271644592285156,0.109519912711402,0.0174159578776833,-0.0921039548337188,0.129032258064516,0.032258064516129,-0.0967741935483871,0.0613971726052114,543,169,-374,agriculture
montana,249,mountain division,0.0507246491106344,7.08990097045898,7.11582469940186,0.0259237289428711,0.117661548567206,0.0129612613048315,-0.104700287262374,0.349050425671251,0.0172413793103448,-0.331809046360906,0.0613971726052114,543,169,-374,mining
nebraska,251,west north central div,0.0188346288296088,6.63912439346314,6.67318630218506,0.0340619087219238,0.0226467507627852,0.00406666223433726,-0.0185800885284479,0.0454545454545455,0.0131578947368421,-0.0322966507177034,0.0355765726640129,20,8,-12,agriculture
nebraska,253,west north central div,0.0296631130368041,6.66315317153931,6.6981201171875,0.0349669456481934,0.0271555222098026,0.00394711630580571,-0.0232084059039969,0.111111111111111,0.0204081632653061,-0.090702947845805,0.0355765726640129,20,8,-12,agriculture
nebraska,254,west north central div,0.0495593479827221,6.61979198455811,6.66408109664917,0.0442891120910645,0.0317025947495198,0.00726764500349406,-0.0244349497460257,0.0344827586206897,0.0144927536231884,-0.0199900049975012,0.0355765726640129,20,8,-12,agriculture
nebraska,256,west north central div,0.0490706648811283,6.66817474365234,6.67108821868897,0.00291347503662109,0.0234833420760494,0.00411725955204216,-0.0193660825240073,0.0444444444444444,0.0172413793103448,-0.0272030651340996,0.0355765726640129,20,8,-12,agriculture
nebraska,257,west north central div,0.020573422565576,6.65021467208862,6.6426157951355,-0.007598876953125,0.0345780088211055,0.0105816226783969,-0.0239963861427086,0.0645161290322581,0.0158730158730159,-0.0486431131592422,0.0355765726640129,20,8,-12,agriculture
nebraska,258,west north central div,0.0261237759104915,6.66040849685669,6.66889524459839,0.00848674774169922,0.0202841807950416,0.0053982883475971,-0.0148858924474445,0.189683860232945,0.04739336492891,-0.142290495304035,0.0355765726640129,20,8,-12,agriculture
nebraska,259,west north central div,0.0342770630586529,6.82995939254761,6.90127468109131,0.0713152885437012,0.0471433760572882,0.00612855007473842,-0.0410148259825497,0.037037037037037,0.0384615384615385,0.00142450142450143,0.0355765726640129,20,8,-12,manufacture
nebraska,260,west north central div,0.054778422615982,6.93273210525513,6.94533586502075,0.012603759765625,0.0721461276371411,0.0151235266777104,-0.0570226009594307,0.0652920962199313,0.0273972602739726,-0.0378948359459587,0.0355765726640129,20,8,-12,manufacture
nevada,261,mountain division,0.0901675173081458,7.13113737106323,7.18663930892944,0.0555019378662109,0.108152477645306,0.0244110306203202,-0.0837414470249853,0.112234122793785,0.0201149425287356,-0.0921191802650493,0.0901675173081458,370,104,-266,mining
new hampshire,262,new england division,0.00514303118870885,7.00271558761597,6.97567749023438,-0.0270380973815918,0.0249720825307842,0.00469293286972845,-0.0202791496610557,0.0941558441558442,0.00606060606060606,-0.0880952380952381,0.00925918982238727,53,39,-14,agriculture
new hampshire,263,new england division,0.00830426459970113,6.99009084701538,6.98335456848145,-0.00673627853393555,0.0338253523713328,0.00592274678111588,-0.0279026055902169,0.261501210653753,0.0260416666666667,-0.235459543987086,0.00925918982238727,53,39,-14,manufacture
new hampshire,264,new england division,0.0152883542086784,7.03312110900879,7.00031566619873,-0.0328054428100586,0.0911163779012749,0.00828599016459704,-0.0828303877366779,0.246511627906977,0.00796812749003984,-0.238543500416937,0.00925918982238727,53,39,-14,manufacture
new jersey,265,middle atlantic division,0.0214738433205639,7.07799911499023,7.12755584716797,0.0495567321777344,0.0631114038316254,0.0226926357293662,-0.0404187681022592,0.626714801444043,0.0885650224215247,-0.538149779022519,0.0638289407543198,151,71,-80,manufacture
